,Metric,Dummy Regressor,Linear Regression,Difference
0,MSE,2.09941864429679,1.1961526990524733,-0.9032659452443168
1,RMSE,1.4489370739603533,1.0936876606474415,-0.3552494133129118
2,MAE,1.178842099174206,0.8701923316778543,-0.30864976749635165
3,R² score,-3.3572644860146994e-05,0.4302266199684496,n/a
